id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,internacional
81,Frodo,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
82,Gollum,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
83,Drácula,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
84,Frankenstein,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
85,Pinocho,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
86,Caperucita Roja,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
90,Vegeta,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
91,Doraemon,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
92,Friends,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
93,El Príncipe de Bel-Air,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
94,Stranger Things,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
95,The Walking Dead,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
96,Heidi,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
97,Bola de Dragón,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
98,Los Simpson,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
99,La casa de papel,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
100,Juego de Tronos,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
101,Breaking Bad,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
102,Aquí no hay quien viva,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
103,La que se avecina,Cine y TV,Serie,Muy alta,Fácil,Actual,Nacional,false
104,Aída,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
105,Élite,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
106,The Office,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
107,Perdidos,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
108,Prison Break,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
109,The Big Bang Theory,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
111,Black Mirror,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
112,The Crown,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
113,Vikingos,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
114,Física o Química,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
115,El Internado,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Nacional,false
116,Miércoles,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
118,The Last of Us,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
119,Titanic,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
120,Jurassic Park,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
122,E.T.,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
123,Grease,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
124,Rocky,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
125,El Rey León,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
126,Forrest Gump,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
127,Regreso al Futuro,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
128,Pretty Woman,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
129,Avatar,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
131,Gladiator,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
132,Solo en casa,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
133,Matrix,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
134,Frozen,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
135,Toy Story,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
136,Coco,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
137,El Padrino,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
138,Pulp Fiction,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
139,La vida es bella,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
140,Braveheart,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
141,Dirty Dancing,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
142,Ghost,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
143,Top Gun,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
144,Terminator,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
145,Alien,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
146,La momia,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
147,Piratas del Caribe,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
148,El Señor de los Anillos,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
149,Los Increíbles,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
150,Shrek,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
151,Madagascar,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
152,Buscando a Nemo,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
153,"Monstruos, S.A.",Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
154,Up,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
155,Ratatouille,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
156,La Bella y la Bestia,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
157,Aladdín,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
158,Mulán,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
159,Vaiana,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
160,Encanto,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
161,Oppenheimer,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
162,Barbie,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
163,Interstellar,Cine y TV,Película,Muy alta,Fácil,Actual,Internacional,true
164,Elton John,Música,Cantante,Muy alta,Fácil,Siglo XX,Internacional,true
165,Elvis Presley,Música,Cantante,Muy alta,Fácil,Siglo XX,Internacional,true
166,The Beatles,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
167,Queen,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
168,ABBA,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
169,The Rolling Stones,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
170,U2,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
171,Nirvana,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
172,Metallica,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
173,AC/DC,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
174,Coldplay,Música,Grupo,Muy alta,Fácil,Actual,Internacional,true
175,Oasis,Música,Grupo,Alta,Media,Siglo XX,Internacional,true
176,Spice Girls,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
177,Backstreet Boys,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
178,Britney Spears,Música,Cantante,Muy alta,Fácil,Siglo XX,Internacional,true
179,Lady Gaga,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
180,Beyoncé,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
181,Jennifer Lopez,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
182,Ricky Martin,Música,Cantante,Muy alta,Fácil,Siglo XX,Internacional,true
183,Enrique Iglesias,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
184,Julio Iglesias,Música,Cantante,Muy alta,Fácil,Siglo XX,Internacional,true
185,Alejandro Sanz,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false
186,David Bisbal,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false
187,Estopa,Música,Grupo,Muy alta,Fácil,Actual,Internacional,false
188,Hombres G,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,false
189,Mecano,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,false
190,La Oreja de Van Gogh,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,false
191,El Canto del Loco,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,false
192,Maná,Música,Grupo,Muy alta,Fácil,Siglo XX,Internacional,true
193,Juanes,Música,Cantante,Muy alta,Fácil,Siglo XX,Internacional,true
194,Daddy Yankee,Música,Reguetón,Muy alta,Fácil,Siglo XX,Internacional,true
195,Karol G,Música,Reguetón,Muy alta,Fácil,Actual,Internacional,true
196,J Balvin,Música,Reguetón,Muy alta,Fácil,Actual,Internacional,true
197,Ozuna,Música,Reguetón,Muy alta,Fácil,Actual,Internacional,true
198,Aitana,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false
199,Dua Lipa,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
200,Taylor Swift,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true
201,Fernando Torres,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,Internacional,true
202,Andrés Iniesta,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,Internacional,true
203,Xavi Hernández,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,Internacional,true
204,Sergio Ramos,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,true
205,Zinedine Zidane,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,Internacional,true
206,Ronaldinho,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,Internacional,true
207,Neymar,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,true
208,Kylian Mbappé,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,true
209,Lewis Hamilton,Deportes,Automovilismo,Muy alta,Fácil,Actual,Internacional,true
210,Marc Márquez,Deportes,Motociclismo,Muy alta,Fácil,Actual,Internacional,true
211,Usain Bolt,Deportes,Atletismo,Muy alta,Fácil,Siglo XX,Internacional,true
212,Michael Phelps,Deportes,Natación,Muy alta,Fácil,Siglo XX,Internacional,true
213,Tiger Woods,Deportes,Golf,Muy alta,Fácil,Siglo XX,Internacional,true
214,Pep Guardiola,Deportes,Entrenador,Muy alta,Fácil,Actual,Internacional,true
215,Real Madrid,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true
216,FC Barcelona,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true
217,Selección española,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,false
218,Mundial de Fútbol,Deportes,Evento,Muy alta,Fácil,Actual,Internacional,true
219,Juegos Olímpicos,Deportes,Evento,Muy alta,Fácil,Siglo XX,Internacional,true
220,La Gioconda,Arte,Cuadro,Muy alta,Fácil,Histórica,Internacional,true
222,El grito,Arte,Cuadro,Alta,Media,Siglo XX,Internacional,true
223,Las Meninas,Arte,Cuadro,Alta,Media,Siglo XX,Internacional,true
224,La última cena,Arte,Cuadro,Alta,Media,Siglo XX,Internacional,true
226,El pensador,Arte,Escultura,Alta,Media,Siglo XX,Internacional,true
227,Romeo y Julieta,Literatura,Obra,Muy alta,Fácil,Histórica,Internacional,true
228,Don Juan,Literatura,Personaje,Alta,Media,Siglo XX,Internacional,true
229,Stephen Hawking,Ciencia,Físico,Muy alta,Fácil,Siglo XX,Internacional,true
230,Galileo Galilei,Ciencia,Astrónomo,Alta,Media,Siglo XX,Internacional,true
231,Nikola Tesla,Ciencia,Inventor,Alta,Media,Siglo XX,Internacional,true
232,Thomas Edison,Ciencia,Inventor,Alta,Media,Siglo XX,Internacional,true
233,Julio César,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,true
234,Cristóbal Colón,Historia,Explorador,Muy alta,Fácil,Histórica,Internacional,true
236,Nelson Mandela,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,Internacional,true
237,Napoleón,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,true
238,Torre Eiffel,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true
239,Sagrada Familia,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true
240,Estatua de la Libertad,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true
241,Nueva York,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true
242,París,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true
243,Londres,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true
244,Roma,Lugares,Ciudad,Muy alta,Fácil,Siglo XX,Internacional,true
245,Madrid,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true
246,Barcelona,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true
247,Egipto,Lugares,País,Muy alta,Fácil,Siglo XX,Internacional,true
248,Gran Muralla China,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true
249,Taj Mahal,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true
250,Las Vegas,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true
251,Disneyland,Lugares,Parque temático,Muy alta,Fácil,Actual,Internacional,true
254,Sonic,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
255,Pac-Man,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
256,Pikachu,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
257,Tetris,Ocio,Videojuego,Muy alta,Fácil,Siglo XX,Internacional,true
258,Minecraft,Ocio,Videojuego,Muy alta,Fácil,Actual,Internacional,true
259,Fortnite,Ocio,Videojuego,Muy alta,Fácil,Actual,Internacional,true
260,PlayStation,Ocio,Consola,Muy alta,Fácil,Actual,Internacional,true
261,Coca-Cola,Marcas,Alimentación,Muy alta,Fácil,Actual,Internacional,true
262,McDonald's,Marcas,Alimentación,Muy alta,Fácil,Actual,Internacional,true
263,Lego,Marcas,Entretenimiento,Muy alta,Fácil,Actual,Internacional,true
264,Apple,Marcas,Tecnología,Muy alta,Fácil,Actual,Internacional,true
265,Google,Marcas,Tecnología,Muy alta,Fácil,Actual,Internacional,true
266,Netflix,Marcas,Tecnología,Muy alta,Fácil,Actual,Internacional,true
267,Amazon,Marcas,Tecnología,Muy alta,Fácil,Actual,Internacional,true
268,IKEA,Marcas,Hogar,Muy alta,Fácil,Actual,Internacional,true
269,Nike,Marcas,Moda,Muy alta,Fácil,Actual,Internacional,true
270,Adidas,Marcas,Moda,Muy alta,Fácil,Actual,Internacional,true
271,Zara,Marcas,Moda,Muy alta,Fácil,Actual,Internacional,true
272,Disney,Marcas,Entretenimiento,Muy alta,Fácil,Actual,Internacional,true
273,Lucky Luke,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
274,Mortadelo,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Nacional,false
275,Filemón,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Nacional,false
276,Garfield,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
277,Snoopy,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
278,Charlie Brown,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
279,Hello Kitty,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
280,Pocahontas,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
281,Jasmine,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
282,Genio de Aladdín,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
283,Stitch,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
284,Winnie the Pooh,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
285,Dumbo,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
286,Bambi,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
287,101 dálmatas,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
288,Cruella de Vil,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
289,Maléfica,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
290,Capitán Garfio,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
291,Pumba,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
292,Timón,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
294,Gru,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
295,Minion,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
296,Kung Fu Panda,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
297,Asno,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
298,Mowgli,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
299,Baloo,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
300,Dora la Exploradora,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
301,Peppa Pig,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
302,Pocoyó,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
303,Naruto Uzumaki,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
304,Shin Chan,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,Internacional,true
305,Ash Ketchum,Cine y TV,Personaje,Muy alta,Fácil,Actual,Internacional,true
306,Doctor Who,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
307,MacGyver,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
308,El Equipo A,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
309,Los vigilantes de la playa,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
310,Alf,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
311,Malcolm,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
312,Modern Family,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
313,Mujeres desesperadas,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
314,Sexo en Nueva York,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
315,Anatomía de Grey,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
316,House,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
317,Dexter,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
318,Peaky Blinders,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
319,The Witcher,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
320,Narcos,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
321,Los Bridgerton,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
322,The Mandalorian,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
323,The Boys,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
324,Vis a Vis,Cine y TV,Serie,Muy alta,Fácil,Actual,Internacional,true
325,Entrevías,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
326,Machos Alfa,Cine y TV,Serie,Muy alta,Fácil,Siglo XX,Internacional,true
327,Veneno,Cine y TV,Serie,Alta,Media,Actual,Internacional,true
328,Fariña,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
329,D'Artacán y los tres mosqueperros,Cine y TV,Serie,Alta,Media,Siglo XX,Internacional,true
330,Ben-Hur,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
331,Con faldas y a lo loco,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
332,Psicosis,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
333,El resplandor,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
334,El exorcista,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
335,Scream,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
336,Saw,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
338,El silencio de los corderos,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
339,Seven,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
340,Robin Hood,Cine y TV,Película,Muy alta,Fácil,Siglo XX,Internacional,true
341,El último samurái,Cine y TV,Película,Media,Difícil,Siglo XX,Internacional,true
342,Pearl Harbor,Cine y TV,Película,Alta,Media,Siglo XX,Internacional,true
