id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,infantil,internacional
32,Leonardo da Vinci,Arte,Artista,Muy alta,Fácil,Histórica,Internacional,true,true
33,Miguel de Cervantes,Literatura,Escritor,Muy alta,Fácil,Histórica,Internacional,true,true
34,William Shakespeare,Literatura,Escritor,Muy alta,Fácil,Histórica,Internacional,true,true
35,J. K. Rowling,Literatura,Escritora,Muy alta,Fácil,Actual,Internacional,true,true
36,Gabriel García Márquez,Literatura,Escritor,Alta,Media,Histórica,Internacional,false,true
37,Agatha Christie,Literatura,Escritora,Alta,Media,Histórica,Internacional,false,true
38,Don Quijote,Literatura,Personaje,Muy alta,Fácil,Histórica,Internacional,true,true
39,Harry Potter,Literatura,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
40,Sherlock Holmes,Literatura,Personaje,Muy alta,Fácil,Histórica,Internacional,true,true
41,Mafalda,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
42,Tintín,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
43,Astérix,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
44,Obélix,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
45,Darth Vader,Personajes,Ciencia ficción,Muy alta,Fácil,Histórica,Internacional,true,true
46,Indiana Jones,Personajes,Aventuras,Muy alta,Fácil,Clásica,Internacional,false,true
47,La Sirenita,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
48,Pitufina,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
49,Woody,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
50,Buzz Lightyear,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
51,Mickey Mouse,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
52,Pato Donald,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
53,Goofy,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
54,Simba,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
55,Scar,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
56,Ariel,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
57,Cenicienta,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
58,Blancanieves,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
59,Peter Pan,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
60,Campanilla,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
61,Homer Simpson,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,false,true
62,Bart Simpson,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,false,true
63,Bob Esponja,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
64,Scooby-Doo,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
65,Tom,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
66,Jerry,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
67,Superman,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
68,Batman,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
69,Spider-Man,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
70,Hulk,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
71,Iron Man,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
72,Thor,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
73,Capitán América,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
74,Wonder Woman,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
75,Joker,Personajes,Superhéroe,Muy alta,Fácil,Histórica,Internacional,false,true
76,Harley Quinn,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,false,true
77,Thanos,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,false,true
78,Hermione Granger,Personajes,Fantasía,Muy alta,Fácil,Actual,Internacional,true,true
79,Ron Weasley,Personajes,Fantasía,Muy alta,Fácil,Actual,Internacional,true,true
80,Gandalf,Personajes,Fantasía,Muy alta,Fácil,Clásica,Internacional,false,true
81,Frodo,Personajes,Fantasía,Muy alta,Fácil,Histórica,Internacional,false,true
82,Gollum,Personajes,Fantasía,Muy alta,Fácil,Histórica,Internacional,false,true
83,Drácula,Personajes,Literatura,Muy alta,Fácil,Histórica,Internacional,false,true
84,Frankenstein,Personajes,Literatura,Muy alta,Fácil,Histórica,Internacional,false,true
85,Pinocho,Personajes,Cuento,Muy alta,Fácil,Histórica,Internacional,true,true
86,Caperucita Roja,Personajes,Cuento,Muy alta,Fácil,Histórica,Internacional,true,true
90,Vegeta,Personajes,Anime,Muy alta,Fácil,Histórica,Internacional,false,true
91,Doraemon,Personajes,Anime,Muy alta,Fácil,Actual,Internacional,true,true
92,Friends,Series,Comedia,Muy alta,Fácil,Clásica,Internacional,false,true
93,El Príncipe de Bel-Air,Series,Comedia,Muy alta,Fácil,Histórica,Internacional,false,true
94,Stranger Things,Series,Ciencia ficción,Muy alta,Fácil,Actual,Internacional,false,true
95,The Walking Dead,Series,Drama,Muy alta,Fácil,Actual,Internacional,false,true
96,Heidi,Series,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
97,Bola de Dragón,Series,Anime,Muy alta,Fácil,Actual,Internacional,true,true
98,Los Simpson,Series,Animación,Muy alta,Fácil,Clásica,Internacional,true,true
99,La casa de papel,Series,Drama,Muy alta,Fácil,Actual,Internacional,false,true
100,Juego de Tronos,Series,Fantasía,Muy alta,Fácil,Histórica,Internacional,false,true
101,Breaking Bad,Series,Drama,Muy alta,Fácil,Histórica,Internacional,false,true
102,Aquí no hay quien viva,Series,Comedia,Muy alta,Fácil,Clásica,Nacional,false,false
103,La que se avecina,Series,Comedia,Muy alta,Fácil,Actual,Nacional,false,false
104,Aída,Series,Comedia,Muy alta,Fácil,Histórica,Nacional,false,false
105,Élite,Series,Drama,Muy alta,Fácil,Actual,Internacional,false,true
106,The Office,Series,Comedia,Alta,Media,Histórica,Internacional,false,true
107,Perdidos,Series,Drama,Alta,Media,Clásica,Internacional,false,true
108,Prison Break,Series,Drama,Alta,Media,Histórica,Internacional,false,true
109,The Big Bang Theory,Series,Comedia,Muy alta,Fácil,Histórica,Internacional,false,true
111,Black Mirror,Series,Ciencia ficción,Alta,Media,Actual,Internacional,false,true
112,The Crown,Series,Drama histórico,Alta,Media,Actual,Internacional,false,true
113,Vikingos,Series,Histórica,Alta,Media,Actual,Internacional,false,true
114,Física o Química,Series,Drama,Muy alta,Fácil,Histórica,Nacional,false,false
115,El Internado,Series,Misterio,Muy alta,Fácil,Histórica,Nacional,false,false
116,Miércoles,Series,Fantasía,Muy alta,Fácil,Actual,Internacional,false,true
118,The Last of Us,Series,Drama,Alta,Media,Actual,Internacional,false,true
119,Titanic,Películas,Drama,Muy alta,Fácil,Clásica,Internacional,false,true
120,Jurassic Park,Películas,Aventuras,Muy alta,Fácil,Clásica,Internacional,false,true
122,E.T.,Películas,Ciencia ficción,Muy alta,Fácil,Histórica,Internacional,false,true
123,Grease,Películas,Musical,Muy alta,Fácil,Histórica,Internacional,false,true
124,Rocky,Películas,Deportes,Muy alta,Fácil,Clásica,Internacional,false,true
125,El Rey León,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
126,Forrest Gump,Películas,Drama,Muy alta,Fácil,Histórica,Internacional,false,true
127,Regreso al Futuro,Películas,Ciencia ficción,Muy alta,Fácil,Histórica,Internacional,false,true
128,Pretty Woman,Películas,Romántica,Muy alta,Fácil,Histórica,Internacional,false,true
129,Avatar,Películas,Ciencia ficción,Muy alta,Fácil,Actual,Internacional,false,true
131,Gladiator,Películas,Histórica,Muy alta,Fácil,Histórica,Internacional,false,true
132,Solo en casa,Películas,Comedia,Muy alta,Fácil,Histórica,Internacional,false,true
133,Matrix,Películas,Ciencia ficción,Muy alta,Fácil,Clásica,Internacional,false,true
134,Frozen,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
135,Toy Story,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
136,Coco,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
137,El Padrino,Películas,Drama,Muy alta,Fácil,Histórica,Internacional,false,true
138,Pulp Fiction,Películas,Drama,Alta,Media,Histórica,Internacional,false,true
139,La vida es bella,Películas,Drama,Alta,Media,Histórica,Internacional,false,true
140,Braveheart,Películas,Histórica,Alta,Media,Histórica,Internacional,false,true
141,Dirty Dancing,Películas,Romántica,Muy alta,Fácil,Histórica,Internacional,false,true
142,Ghost,Películas,Romántica,Alta,Media,Histórica,Internacional,false,true
143,Top Gun,Películas,Acción,Muy alta,Fácil,Histórica,Internacional,false,true
144,Terminator,Películas,Ciencia ficción,Muy alta,Fácil,Histórica,Internacional,false,true
145,Alien,Películas,Ciencia ficción,Alta,Media,Histórica,Internacional,false,true
146,La momia,Películas,Aventuras,Muy alta,Fácil,Histórica,Internacional,false,true
147,Piratas del Caribe,Películas,Aventuras,Muy alta,Fácil,Histórica,Internacional,false,true
148,El Señor de los Anillos,Películas,Fantasía,Muy alta,Fácil,Histórica,Internacional,false,true
149,Los Increíbles,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
150,Shrek,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
151,Madagascar,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
152,Buscando a Nemo,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
153,"Monstruos, S.A.",Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
154,Up,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
155,Ratatouille,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
156,La Bella y la Bestia,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
157,Aladdín,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
158,Mulán,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
159,Vaiana,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
160,Encanto,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
161,Oppenheimer,Películas,Drama,Muy alta,Fácil,Actual,Internacional,false,true
162,Barbie,Películas,Comedia,Muy alta,Fácil,Actual,Internacional,false,true
163,Interstellar,Películas,Ciencia ficción,Muy alta,Fácil,Actual,Internacional,false,true
164,Elton John,Música,Cantante,Muy alta,Fácil,Histórica,Internacional,false,true
165,Elvis Presley,Música,Cantante,Muy alta,Fácil,Histórica,Internacional,false,true
166,The Beatles,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,true,true
167,Queen,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,true,true
168,ABBA,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,true,true
169,The Rolling Stones,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,false,true
170,U2,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,false,true
171,Nirvana,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,true
172,Metallica,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,true
173,AC/DC,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,true
174,Coldplay,Música,Grupo,Muy alta,Fácil,Actual,Internacional,true,true
175,Oasis,Música,Grupo,Alta,Media,Clásica,Internacional,false,true
176,Spice Girls,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,true
177,Backstreet Boys,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,true
178,Britney Spears,Música,Cantante,Muy alta,Fácil,Clásica,Internacional,false,true
179,Lady Gaga,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
180,Beyoncé,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
181,Jennifer Lopez,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
182,Ricky Martin,Música,Cantante,Muy alta,Fácil,Clásica,Internacional,false,true
183,Enrique Iglesias,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,true
184,Julio Iglesias,Música,Cantante,Muy alta,Fácil,Clásica,Internacional,false,true
185,Alejandro Sanz,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,false
186,David Bisbal,Música,Cantante,Muy alta,Fácil,Actual,Internacional,false,false
187,Estopa,Música,Grupo,Muy alta,Fácil,Actual,Internacional,false,false
188,Hombres G,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,false
189,Mecano,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,false
190,La Oreja de Van Gogh,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,false
191,El Canto del Loco,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,false
192,Maná,Música,Grupo,Muy alta,Fácil,Clásica,Internacional,false,true
193,Juanes,Música,Cantante,Muy alta,Fácil,Clásica,Internacional,false,true
194,Daddy Yankee,Música,Reguetón,Muy alta,Fácil,Clásica,Internacional,false,true
195,Karol G,Música,Reguetón,Muy alta,Fácil,Actual,Internacional,false,true
196,J Balvin,Música,Reguetón,Muy alta,Fácil,Actual,Internacional,false,true
197,Ozuna,Música,Reguetón,Muy alta,Fácil,Actual,Internacional,false,true
198,Aitana,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,false
199,Dua Lipa,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
200,Taylor Swift,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
201,Fernando Torres,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,false,true
202,Andrés Iniesta,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,false,true
203,Xavi Hernández,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,false,true
204,Sergio Ramos,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,false,true
205,Zinedine Zidane,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,false,true
206,Ronaldinho,Deportes,Futbolista,Muy alta,Fácil,Histórica,Internacional,false,true
207,Neymar,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,false,true
208,Kylian Mbappé,Deportes,Futbolista,Muy alta,Fácil,Actual,Internacional,false,true
209,Lewis Hamilton,Deportes,Automovilismo,Muy alta,Fácil,Actual,Internacional,false,true
210,Marc Márquez,Deportes,Motociclismo,Muy alta,Fácil,Actual,Internacional,false,true
211,Usain Bolt,Deportes,Atletismo,Muy alta,Fácil,Histórica,Internacional,false,true
212,Michael Phelps,Deportes,Natación,Muy alta,Fácil,Histórica,Internacional,false,true
213,Tiger Woods,Deportes,Golf,Muy alta,Fácil,Histórica,Internacional,false,true
214,Pep Guardiola,Deportes,Entrenador,Muy alta,Fácil,Actual,Internacional,false,true
215,Real Madrid,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true,true
216,FC Barcelona,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true,true
217,Selección española,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true,false
218,Mundial de Fútbol,Deportes,Evento,Muy alta,Fácil,Actual,Internacional,true,true
219,Juegos Olímpicos,Deportes,Evento,Muy alta,Fácil,Histórica,Internacional,true,true
220,La Gioconda,Arte,Pintura,Muy alta,Fácil,Histórica,Internacional,true,true
222,El grito,Arte,Pintura,Alta,Media,Histórica,Internacional,true,true
223,Las Meninas,Arte,Pintura,Alta,Media,Histórica,Internacional,true,true
224,La última cena,Arte,Pintura,Alta,Media,Histórica,Internacional,true,true
226,El pensador,Arte,Escultura,Alta,Media,Histórica,Internacional,false,true
227,Romeo y Julieta,Literatura,Obra,Muy alta,Fácil,Histórica,Internacional,true,true
228,Don Juan,Literatura,Personaje,Alta,Media,Histórica,Internacional,false,true
229,Stephen Hawking,Ciencia,Físico,Muy alta,Fácil,Histórica,Internacional,true,true
230,Galileo Galilei,Ciencia,Astrónomo,Alta,Media,Histórica,Internacional,true,true
231,Nikola Tesla,Ciencia,Inventor,Alta,Media,Histórica,Internacional,true,true
232,Thomas Edison,Ciencia,Inventor,Alta,Media,Histórica,Internacional,true,true
233,Julio César,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,true,true
234,Cristóbal Colón,Historia,Explorador,Muy alta,Fácil,Histórica,Internacional,true,true
236,Nelson Mandela,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,false,true
237,Napoleón,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,false,true
238,Torre Eiffel,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
239,Sagrada Familia,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
240,Estatua de la Libertad,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
241,Nueva York,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
242,París,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
243,Londres,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
244,Roma,Lugares,Ciudad,Muy alta,Fácil,Histórica,Internacional,true,true
245,Madrid,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
246,Barcelona,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
247,Egipto,Lugares,País,Muy alta,Fácil,Histórica,Internacional,true,true
248,Gran Muralla China,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
249,Taj Mahal,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
250,Las Vegas,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,false,true
251,Disneyland,Lugares,Parque temático,Muy alta,Fácil,Actual,Internacional,true,true
254,Sonic,Personajes,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
255,Pac-Man,Personajes,Videojuegos,Muy alta,Fácil,Histórica,Internacional,true,true
256,Pikachu,Personajes,Videojuegos,Muy alta,Fácil,Clásica,Internacional,true,true
257,Tetris,Videojuegos,Puzzle,Muy alta,Fácil,Histórica,Internacional,true,true
258,Minecraft,Videojuegos,Sandbox,Muy alta,Fácil,Actual,Internacional,true,true
259,Fortnite,Videojuegos,Battle royale,Muy alta,Fácil,Actual,Internacional,true,true
260,PlayStation,Videojuegos,Consola,Muy alta,Fácil,Actual,Internacional,false,true
261,Coca-Cola,Marcas,Bebida,Muy alta,Fácil,Actual,Internacional,true,true
262,McDonald's,Marcas,Restauración,Muy alta,Fácil,Actual,Internacional,true,true
263,Lego,Marcas,Juguetes,Muy alta,Fácil,Actual,Internacional,true,true
264,Apple,Marcas,Tecnología,Muy alta,Fácil,Actual,Internacional,true,true
265,Google,Marcas,Tecnología,Muy alta,Fácil,Actual,Internacional,true,true
266,Netflix,Marcas,Streaming,Muy alta,Fácil,Actual,Internacional,true,true
267,Amazon,Marcas,Comercio,Muy alta,Fácil,Actual,Internacional,true,true
268,IKEA,Marcas,Hogar,Muy alta,Fácil,Actual,Internacional,true,true
269,Nike,Marcas,Deporte,Muy alta,Fácil,Actual,Internacional,true,true
270,Adidas,Marcas,Deporte,Muy alta,Fácil,Actual,Internacional,true,true
271,Zara,Marcas,Moda,Muy alta,Fácil,Actual,Internacional,true,true
272,Disney,Marcas,Entretenimiento,Muy alta,Fácil,Actual,Internacional,true,true
273,Lucky Luke,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
274,Mortadelo,Personajes,Cómic,Muy alta,Fácil,Histórica,Nacional,true,false
275,Filemón,Personajes,Cómic,Muy alta,Fácil,Histórica,Nacional,true,false
276,Garfield,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
277,Snoopy,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
278,Charlie Brown,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,false,true
279,Hello Kitty,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
280,Pocahontas,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
281,Jasmine,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
282,Genio de Aladdín,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
283,Stitch,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
284,Winnie the Pooh,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
285,Dumbo,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
286,Bambi,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
287,101 dálmatas,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
288,Cruella de Vil,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
289,Maléfica,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
290,Capitán Garfio,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
291,Pumba,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
292,Timón,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
294,Gru,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
295,Minion,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
296,Kung Fu Panda,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
297,Asno,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,false,true
298,Mowgli,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
299,Baloo,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
300,Dora la Exploradora,Personajes,Infantil,Muy alta,Fácil,Actual,Internacional,true,true
301,Peppa Pig,Personajes,Infantil,Muy alta,Fácil,Actual,Internacional,true,true
302,Pocoyó,Personajes,Infantil,Muy alta,Fácil,Actual,Internacional,true,true
303,Naruto Uzumaki,Personajes,Anime,Muy alta,Fácil,Actual,Internacional,false,true
304,Shin Chan,Personajes,Anime,Muy alta,Fácil,Histórica,Internacional,false,true
305,Ash Ketchum,Personajes,Anime,Muy alta,Fácil,Actual,Internacional,true,true
306,Doctor Who,Series,Ciencia ficción,Alta,Media,Histórica,Internacional,false,true
307,MacGyver,Series,Aventuras,Alta,Media,Clásica,Internacional,false,true
308,El Equipo A,Series,Acción,Alta,Media,Histórica,Internacional,false,true
309,Los vigilantes de la playa,Series,Drama,Alta,Media,Histórica,Internacional,false,true
310,Alf,Series,Comedia,Alta,Media,Clásica,Internacional,false,true
311,Malcolm,Series,Comedia,Alta,Media,Histórica,Internacional,false,true
312,Modern Family,Series,Comedia,Muy alta,Fácil,Histórica,Internacional,true,true
313,Mujeres desesperadas,Series,Drama,Alta,Media,Histórica,Internacional,false,true
314,Sexo en Nueva York,Series,Comedia,Alta,Media,Histórica,Internacional,false,true
315,Anatomía de Grey,Series,Drama,Alta,Media,Actual,Internacional,false,true
316,House,Series,Drama,Alta,Media,Histórica,Internacional,false,true
317,Dexter,Series,Drama,Alta,Media,Histórica,Internacional,false,true
318,Peaky Blinders,Series,Drama,Alta,Media,Histórica,Internacional,false,true
319,The Witcher,Series,Fantasía,Alta,Media,Actual,Internacional,false,true
320,Narcos,Series,Drama,Alta,Media,Actual,Internacional,false,true
321,Los Bridgerton,Series,Romántica,Alta,Media,Actual,Internacional,false,true
322,The Mandalorian,Series,Ciencia ficción,Alta,Media,Actual,Internacional,false,true
323,The Boys,Series,Superhéroes,Alta,Media,Actual,Internacional,false,true
324,Vis a Vis,Series,Drama,Muy alta,Fácil,Actual,Internacional,false,true
325,Entrevías,Series,Drama,Alta,Media,Actual,Internacional,false,true
326,Machos Alfa,Series,Comedia,Muy alta,Fácil,Clásica,Internacional,false,true
327,Veneno,Series,Drama,Alta,Media,Actual,Internacional,false,true
328,Fariña,Series,Drama,Alta,Media,Histórica,Internacional,false,true
329,D'Artacán y los tres mosqueperros,Series,Animación,Alta,Media,Histórica,Internacional,false,true
330,Ben-Hur,Películas,Histórica,Alta,Media,Histórica,Internacional,false,true
331,Con faldas y a lo loco,Películas,Comedia,Alta,Media,Histórica,Internacional,false,true
332,Psicosis,Películas,Terror,Alta,Media,Histórica,Internacional,false,true
333,El resplandor,Películas,Terror,Alta,Media,Histórica,Internacional,false,true
334,El exorcista,Películas,Terror,Alta,Media,Histórica,Internacional,false,true
335,Scream,Películas,Terror,Muy alta,Fácil,Histórica,Internacional,false,true
336,Saw,Películas,Terror,Muy alta,Fácil,Histórica,Internacional,false,true
338,El silencio de los corderos,Películas,Thriller,Alta,Media,Histórica,Internacional,false,true
339,Seven,Películas,Thriller,Alta,Media,Histórica,Internacional,false,true
340,Robin Hood,Películas,Aventuras,Muy alta,Fácil,Histórica,Internacional,false,true
341,El último samurái,Películas,Aventuras,Media,Difícil,Histórica,Internacional,false,true
