id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,tipo,infantil
72,Thor,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
73,Capitán América,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
74,Wonder Woman,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
75,Joker,Personajes,Superhéroe,Muy alta,Fácil,Histórica,Personaje,Sí
76,Harley Quinn,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
77,Thanos,Personajes,Superhéroe,Muy alta,Fácil,Actual,Personaje,Sí
78,Hermione Granger,Personajes,Fantasía,Muy alta,Fácil,Actual,Personaje,Sí
79,Ron Weasley,Personajes,Fantasía,Muy alta,Fácil,Actual,Personaje,Sí
80,Gandalf,Personajes,Fantasía,Muy alta,Fácil,Histórica,Personaje,Sí
81,Frodo,Personajes,Fantasía,Muy alta,Fácil,Histórica,Personaje,Sí
82,Gollum,Personajes,Fantasía,Muy alta,Fácil,Histórica,Personaje,Sí
83,Drácula,Personajes,Literatura,Muy alta,Fácil,Histórica,Personaje,Sí
84,Frankenstein,Personajes,Literatura,Muy alta,Fácil,Histórica,Personaje,Sí
85,Pinocho,Personajes,Cuento,Muy alta,Fácil,Histórica,Personaje,Sí
86,Caperucita Roja,Personajes,Cuento,Muy alta,Fácil,Histórica,Personaje,Sí
87,Alicia,Personajes,Cuento,Muy alta,Fácil,Histórica,Personaje,Sí
88,Naruto,Personajes,Anime,Muy alta,Fácil,Actual,Personaje,Sí
89,Goku,Personajes,Anime,Muy alta,Fácil,Histórica,Personaje,Sí
90,Vegeta,Personajes,Anime,Muy alta,Fácil,Histórica,Personaje,Sí
91,Doraemon,Personajes,Anime,Muy alta,Fácil,Actual,Personaje,Sí
92,Friends,Series,Comedia,Muy alta,Media,Histórica,Serie,Sí
93,El Príncipe de Bel-Air,Series,Comedia,Muy alta,Media,Histórica,Serie,Sí
94,Stranger Things,Series,Ciencia ficción,Muy alta,Media,Actual,Serie,Sí
95,The Walking Dead,Series,Drama,Muy alta,Difícil,Actual,Serie,Sí
96,Heidi,Series,Animación,Muy alta,Media,Histórica,Serie,Sí
97,Bola de Dragón,Series,Anime,Muy alta,Media,Actual,Serie,Sí
98,Los Simpson,Series,Animación,Muy alta,Media,Actual,Serie,Sí
99,La casa de papel,Series,Drama,Muy alta,Difícil,Actual,Serie,Sí
100,Juego de Tronos,Series,Fantasía,Muy alta,Media,Histórica,Serie,Sí
101,Breaking Bad,Series,Drama,Muy alta,Difícil,Histórica,Serie,Sí
102,Aquí no hay quien viva,Series,Comedia,Muy alta,Media,Clásica,Serie,Sí
103,La que se avecina,Series,Comedia,Muy alta,Media,Actual,Serie,Sí
104,Aída,Series,Comedia,Muy alta,Media,Histórica,Serie,Sí
105,Élite,Series,Drama,Muy alta,Difícil,Actual,Serie,Sí
106,The Office,Series,Comedia,Muy alta,Media,Histórica,Serie,Sí
107,Lost,Series,Drama,Muy alta,Difícil,Clásica,Serie,Sí
108,Prison Break,Series,Drama,Muy alta,Difícil,Histórica,Serie,Sí
109,The Big Bang Theory,Series,Comedia,Muy alta,Media,Histórica,Serie,Sí
110,How I Met Your Mother,Series,Comedia,Muy alta,Media,Histórica,Serie,Sí
111,Black Mirror,Series,Ciencia ficción,Muy alta,Media,Actual,Serie,Sí
112,The Crown,Series,Drama histórico,Muy alta,Difícil,Actual,Serie,Sí
113,Vikingos,Series,Histórica,Muy alta,Media,Actual,Serie,Sí
114,Física o Química,Series,Drama,Muy alta,Difícil,Histórica,Serie,Sí
115,El Internado,Series,Misterio,Muy alta,Media,Histórica,Serie,Sí
116,Merlina,Series,Fantasía,Muy alta,Media,Actual,Serie,Sí
117,Wednesday,Series,Fantasía,Muy alta,Media,Actual,Serie,Sí
118,The Last of Us,Series,Drama,Muy alta,Difícil,Actual,Serie,Sí
119,Titanic,Películas,Drama,Muy alta,Difícil,Histórica,Película,Sí
120,Jurassic Park,Películas,Aventuras,Muy alta,Media,Actual,Película,Sí
121,Los Vengadores,Películas,Superhéroes,Muy alta,Media,Actual,Película,Sí
122,E.T.,Películas,Ciencia ficción,Muy alta,Media,Histórica,Película,Sí
123,Grease,Películas,Musical,Muy alta,Media,Histórica,Película,Sí
124,Rocky,Películas,Deportes,Muy alta,Media,Histórica,Película,Sí
125,El Rey León,Películas,Animación,Muy alta,Media,Histórica,Película,Sí
126,Forrest Gump,Películas,Drama,Muy alta,Difícil,Histórica,Película,Sí
127,Regreso al Futuro,Películas,Ciencia ficción,Muy alta,Media,Histórica,Película,Sí
128,Pretty Woman,Películas,Romántica,Muy alta,Media,Histórica,Película,Sí
129,Avatar,Películas,Ciencia ficción,Muy alta,Media,Actual,Película,Sí
130,La guerra de las galaxias,Películas,Ciencia ficción,Muy alta,Media,Actual,Película,Sí
131,Gladiator,Películas,Histórica,Muy alta,Media,Histórica,Película,Sí
132,Solo en casa,Películas,Comedia,Muy alta,Media,Histórica,Película,Sí
133,Matrix,Películas,Ciencia ficción,Muy alta,Media,Histórica,Película,Sí
134,Frozen,Películas,Animación,Muy alta,Media,Actual,Película,Sí
135,Toy Story,Películas,Animación,Muy alta,Media,Actual,Película,Sí
136,Coco,Películas,Animación,Muy alta,Media,Actual,Película,Sí
137,El Padrino,Películas,Drama,Muy alta,Difícil,Histórica,Película,Sí
138,Pulp Fiction,Películas,Drama,Muy alta,Difícil,Histórica,Película,Sí
139,La vida es bella,Películas,Drama,Muy alta,Difícil,Histórica,Película,Sí
140,Braveheart,Películas,Histórica,Muy alta,Media,Histórica,Película,Sí
141,Dirty Dancing,Películas,Romántica,Muy alta,Media,Histórica,Película,Sí
142,Ghost,Películas,Romántica,Muy alta,Media,Histórica,Película,Sí
143,Top Gun,Películas,Acción,Muy alta,Media,Histórica,Película,Sí
144,Terminator,Películas,Ciencia ficción,Muy alta,Media,Histórica,Película,Sí
145,Alien,Películas,Ciencia ficción,Muy alta,Media,Histórica,Película,Sí
146,La momia,Películas,Aventuras,Muy alta,Media,Histórica,Película,Sí
147,Piratas del Caribe,Películas,Aventuras,Muy alta,Media,Histórica,Película,Sí
148,El Señor de los Anillos,Películas,Fantasía,Muy alta,Media,Histórica,Película,Sí
149,Los Increíbles,Películas,Animación,Muy alta,Media,Actual,Película,Sí
150,Shrek,Películas,Animación,Muy alta,Media,Histórica,Película,Sí
151,Madagascar,Películas,Animación,Muy alta,Media,Actual,Película,Sí
152,Buscando a Nemo,Películas,Animación,Muy alta,Media,Actual,Película,Sí
153,"Monstruos, S.A.",Películas,Animación,Muy alta,Media,Actual,Película,Sí
154,Up,Películas,Animación,Muy alta,Media,Actual,Película,Sí
155,Ratatouille,Películas,Animación,Muy alta,Media,Actual,Película,Sí
156,La Bella y la Bestia,Películas,Animación,Muy alta,Media,Histórica,Película,Sí
157,Aladdin,Películas,Animación,Muy alta,Media,Histórica,Película,Sí
158,Mulan,Películas,Animación,Muy alta,Media,Histórica,Película,Sí
159,Vaiana,Películas,Animación,Muy alta,Media,Actual,Película,Sí
160,Encanto,Películas,Animación,Muy alta,Media,Actual,Película,Sí
161,Oppenheimer,Películas,Drama,Muy alta,Difícil,Actual,Película,Sí
162,Barbie,Películas,Comedia,Muy alta,Media,Actual,Película,Sí
163,Interstellar,Películas,Ciencia ficción,Muy alta,Media,Actual,Película,Sí
164,Elton John,Música,Cantante,Muy alta,Fácil,Histórica,Persona,Sí
165,Elvis Presley,Música,Cantante,Muy alta,Fácil,Histórica,Persona,Sí
166,The Beatles,Música,Grupo musical,Muy alta,Difícil,Histórica,Grupo,Sí
167,Queen,Música,Grupo musical,Muy alta,Difícil,Histórica,Grupo,Sí
168,ABBA,Música,Grupo musical,Muy alta,Difícil,Histórica,Grupo,Sí
169,The Rolling Stones,Música,Grupo musical,Muy alta,Difícil,Histórica,Grupo,Sí
170,U2,Música,Grupo musical,Muy alta,Difícil,Histórica,Grupo,Sí
171,Nirvana,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
172,Metallica,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
173,AC/DC,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
174,Coldplay,Música,Grupo musical,Muy alta,Difícil,Actual,Grupo,Sí
175,Oasis,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
176,Spice Girls,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
177,Backstreet Boys,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
178,Britney Spears,Música,Cantante,Muy alta,Fácil,Clásica,Persona,Sí
179,Lady Gaga,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
180,Beyoncé,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
181,Jennifer Lopez,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
182,Ricky Martin,Música,Cantante,Muy alta,Fácil,Clásica,Persona,Sí
183,Enrique Iglesias,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
184,Julio Iglesias,Música,Cantante,Muy alta,Fácil,Clásica,Persona,Sí
185,Alejandro Sanz,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
186,David Bisbal,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
187,Estopa,Música,Grupo musical,Muy alta,Difícil,Actual,Grupo,Sí
188,Hombres G,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
189,Mecano,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
190,La Oreja de Van Gogh,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
191,El Canto del Loco,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
192,Maná,Música,Grupo musical,Muy alta,Difícil,Clásica,Grupo,Sí
193,Juanes,Música,Cantante,Muy alta,Fácil,Clásica,Persona,Sí
194,Daddy Yankee,Música,Reguetón,Muy alta,Fácil,Clásica,Persona,Sí
195,Karol G,Música,Reguetón,Muy alta,Fácil,Actual,Persona,Sí
196,J Balvin,Música,Reguetón,Muy alta,Fácil,Actual,Persona,Sí
197,Ozuna,Música,Reguetón,Muy alta,Fácil,Actual,Persona,Sí
198,Aitana,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
199,Dua Lipa,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
200,Taylor Swift,Música,Cantante,Muy alta,Fácil,Actual,Persona,Sí
201,Fernando Torres,Deportes,Futbolista,Muy alta,Fácil,Histórica,Persona,Sí
202,Andrés Iniesta,Deportes,Futbolista,Muy alta,Fácil,Histórica,Persona,Sí
203,Xavi Hernández,Deportes,Futbolista,Muy alta,Fácil,Histórica,Persona,Sí
204,Sergio Ramos,Deportes,Futbolista,Muy alta,Fácil,Actual,Persona,Sí
205,Zinedine Zidane,Deportes,Futbolista,Muy alta,Fácil,Histórica,Persona,Sí
206,Ronaldinho,Deportes,Futbolista,Muy alta,Fácil,Histórica,Persona,Sí
207,Neymar,Deportes,Futbolista,Muy alta,Fácil,Actual,Persona,Sí
208,Kylian Mbappé,Deportes,Futbolista,Muy alta,Fácil,Actual,Persona,Sí
209,Lewis Hamilton,Deportes,Automovilismo,Muy alta,Fácil,Actual,Persona,Sí
210,Marc Márquez,Deportes,Motociclismo,Muy alta,Fácil,Actual,Persona,Sí
211,Usain Bolt,Deportes,Atletismo,Muy alta,Fácil,Histórica,Persona,Sí
212,Michael Phelps,Deportes,Natación,Muy alta,Fácil,Histórica,Persona,Sí
213,Tiger Woods,Deportes,Golf,Muy alta,Fácil,Histórica,Persona,Sí
214,Pep Guardiola,Deportes,Entrenador,Muy alta,Fácil,Actual,Persona,Sí
215,Real Madrid,Deportes,Fútbol,Muy alta,Fácil,Actual,Equipo,Sí
216,FC Barcelona,Deportes,Fútbol,Muy alta,Fácil,Actual,Equipo,Sí
217,Selección española,Deportes,Fútbol,Muy alta,Fácil,Actual,Equipo,Sí
218,Mundial de Fútbol,Deportes,Evento,Muy alta,Fácil,Actual,Evento,Sí
219,Juegos Olímpicos,Deportes,Evento,Muy alta,Fácil,Histórica,Evento,Sí
220,La Gioconda,Arte,Pintura,Muy alta,Difícil,Histórica,Obra,Sí
221,El Guernica,Arte,Pintura,Muy alta,Difícil,Histórica,Obra,Sí
222,El grito,Arte,Pintura,Muy alta,Difícil,Histórica,Obra,Sí
223,Las Meninas,Arte,Pintura,Muy alta,Difícil,Histórica,Obra,Sí
224,La última cena,Arte,Pintura,Muy alta,Difícil,Histórica,Obra,Sí
225,El David,Arte,Escultura,Muy alta,Difícil,Histórica,Obra,Sí
226,El pensador,Arte,Escultura,Muy alta,Difícil,Histórica,Obra,Sí
227,Romeo y Julieta,Literatura,Obra,Muy alta,Difícil,Histórica,Obra,Sí
228,Don Juan,Literatura,Personaje,Muy alta,Media,Histórica,Personaje,Sí
229,Stephen Hawking,Ciencia,Físico,Muy alta,Difícil,Histórica,Persona,Sí
230,Galileo Galilei,Ciencia,Astrónomo,Muy alta,Difícil,Histórica,Persona,Sí
231,Nikola Tesla,Ciencia,Inventor,Muy alta,Difícil,Histórica,Persona,Sí
232,Thomas Edison,Ciencia,Inventor,Muy alta,Difícil,Histórica,Persona,Sí
233,Julio César,Historia,Personaje histórico,Muy alta,Difícil,Histórica,Persona,Sí
234,Cristóbal Colón,Historia,Explorador,Muy alta,Difícil,Histórica,Persona,Sí
235,Gandhi,Historia,Personaje histórico,Muy alta,Difícil,Histórica,Persona,Sí
236,Nelson Mandela,Historia,Personaje histórico,Muy alta,Difícil,Histórica,Persona,Sí
237,Napoleón,Historia,Personaje histórico,Muy alta,Difícil,Histórica,Persona,Sí
238,Torre Eiffel,Lugares,Monumento,Muy alta,Fácil,Histórica,Lugar,Sí
239,Sagrada Familia,Lugares,Monumento,Muy alta,Fácil,Histórica,Lugar,Sí
240,Estatua de la Libertad,Lugares,Monumento,Muy alta,Fácil,Histórica,Lugar,Sí
241,Nueva York,Lugares,Ciudad,Muy alta,Fácil,Actual,Lugar,Sí
242,París,Lugares,Ciudad,Muy alta,Fácil,Actual,Lugar,Sí
243,Londres,Lugares,Ciudad,Muy alta,Fácil,Actual,Lugar,Sí
244,Roma,Lugares,Ciudad,Muy alta,Fácil,Histórica,Lugar,Sí
245,Madrid,Lugares,Ciudad,Muy alta,Fácil,Actual,Lugar,Sí
246,Barcelona,Lugares,Ciudad,Muy alta,Fácil,Actual,Lugar,Sí
247,Egipto,Lugares,País,Muy alta,Fácil,Histórica,Lugar,Sí
248,Gran Muralla China,Lugares,Monumento,Muy alta,Fácil,Histórica,Lugar,Sí
249,Taj Mahal,Lugares,Monumento,Muy alta,Fácil,Histórica,Lugar,Sí
250,Las Vegas,Lugares,Ciudad,Muy alta,Fácil,Actual,Lugar,Sí
251,Disneyland,Lugares,Parque temático,Muy alta,Fácil,Actual,Lugar,Sí
252,El Vaticano,Lugares,Lugar,Muy alta,Fácil,Histórica,Lugar,Sí
253,Mario Bros,Videojuegos,Plataformas,Muy alta,Fácil,Actual,Personaje,Sí
254,Sonic,Videojuegos,Plataformas,Muy alta,Fácil,Actual,Personaje,Sí
255,Pac-Man,Videojuegos,Arcade,Muy alta,Fácil,Histórica,Personaje,Sí
256,Pikachu,Videojuegos,Pokémon,Muy alta,Fácil,Actual,Personaje,Sí
257,Tetris,Videojuegos,Puzzle,Muy alta,Fácil,Histórica,Juego,Sí
258,Minecraft,Videojuegos,Sandbox,Muy alta,Fácil,Actual,Juego,Sí
259,Fortnite,Videojuegos,Battle royale,Muy alta,Fácil,Actual,Juego,Sí
260,The Sims,Videojuegos,Simulación,Muy alta,Fácil,Actual,Juego,Sí
261,GTA,Videojuegos,Acción,Muy alta,Fácil,Actual,Juego,Sí
262,PlayStation,Videojuegos,Consola,Muy alta,Fácil,Actual,Marca,Sí
263,Coca-Cola,Marcas,Bebida,Muy alta,Fácil,Actual,Marca,Sí
264,McDonald's,Marcas,Restauración,Muy alta,Fácil,Actual,Marca,Sí
265,Lego,Marcas,Juguetes,Muy alta,Fácil,Actual,Marca,Sí
266,Apple,Marcas,Tecnología,Muy alta,Fácil,Actual,Marca,Sí
267,Google,Marcas,Tecnología,Muy alta,Fácil,Actual,Marca,Sí
268,Netflix,Marcas,Streaming,Muy alta,Fácil,Actual,Marca,Sí
269,Amazon,Marcas,Comercio,Muy alta,Fácil,Actual,Marca,Sí
270,IKEA,Marcas,Hogar,Muy alta,Fácil,Actual,Marca,Sí
271,Nike,Marcas,Deporte,Muy alta,Fácil,Actual,Marca,Sí
272,Adidas,Marcas,Deporte,Muy alta,Fácil,Actual,Marca,Sí
273,Zara,Marcas,Moda,Muy alta,Fácil,Actual,Marca,Sí
274,Disney,Marcas,Entretenimiento,Muy alta,Fácil,Actual,Marca,Sí
275,Lucky Luke,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
276,Mortadelo,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
277,Filemón,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
278,Garfield,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
279,Snoopy,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
280,Charlie Brown,Personajes,Cómic,Muy alta,Fácil,Histórica,Personaje,Sí
281,Hello Kitty,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
282,Pocahontas,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
283,Jasmine,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
284,Genio de Aladdín,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
285,Stitch,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
286,Winnie the Pooh,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
287,Dumbo,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
288,Bambi,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
289,101 dálmatas,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
290,Cruella de Vil,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
291,Maléfica,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
292,Capitán Garfio,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
293,Pumba,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
294,Timón,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
295,Buzz,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
296,Gru,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
297,Minion,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
298,Kung Fu Panda,Personajes,Animación,Muy alta,Fácil,Actual,Personaje,Sí
299,Asno,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
300,Mowgli,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
301,Baloo,Personajes,Animación,Muy alta,Fácil,Histórica,Personaje,Sí
302,Dora la Exploradora,Personajes,Infantil,Muy alta,Fácil,Actual,Personaje,Sí
303,Peppa Pig,Personajes,Infantil,Muy alta,Fácil,Actual,Personaje,Sí
304,Pocoyó,Personajes,Infantil,Muy alta,Fácil,Actual,Personaje,Sí
305,Naruto Uzumaki,Personajes,Anime,Muy alta,Fácil,Actual,Personaje,Sí
306,Shin Chan,Personajes,Anime,Muy alta,Fácil,Histórica,Personaje,Sí
307,Ash Ketchum,Personajes,Anime,Muy alta,Fácil,Actual,Personaje,Sí
308,Doctor Who,Series,Ciencia ficción,Muy alta,Media,Histórica,Serie,Sí
309,MacGyver,Series,Aventuras,Muy alta,Media,Clásica,Serie,Sí
310,El Equipo A,Series,Acción,Muy alta,Media,Histórica,Serie,Sí
311,Los vigilantes de la playa,Series,Drama,Muy alta,Difícil,Histórica,Serie,Sí
312,Alf,Series,Comedia,Muy alta,Media,Clásica,Serie,Sí
313,Malcolm,Series,Comedia,Muy alta,Media,Histórica,Serie,Sí
314,Modern Family,Series,Comedia,Muy alta,Media,Histórica,Serie,Sí
315,Mujeres desesperadas,Series,Drama,Muy alta,Difícil,Histórica,Serie,Sí
316,Sexo en Nueva York,Series,Comedia,Muy alta,Media,Histórica,Serie,Sí
317,Anatomía de Grey,Series,Drama,Muy alta,Difícil,Actual,Serie,Sí
318,House,Series,Drama,Muy alta,Difícil,Histórica,Serie,Sí
319,Dexter,Series,Drama,Muy alta,Difícil,Histórica,Serie,Sí
320,Peaky Blinders,Series,Drama,Muy alta,Difícil,Histórica,Serie,Sí
321,The Witcher,Series,Fantasía,Muy alta,Media,Actual,Serie,Sí
322,Narcos,Series,Drama,Muy alta,Difícil,Actual,Serie,Sí
323,Bridgerton,Series,Romántica,Muy alta,Media,Actual,Serie,Sí
324,The Mandalorian,Series,Ciencia ficción,Muy alta,Media,Actual,Serie,Sí
325,The Boys,Series,Superhéroes,Muy alta,Media,Actual,Serie,Sí
326,Vis a Vis,Series,Drama,Muy alta,Difícil,Actual,Serie,Sí
327,Entrevías,Series,Drama,Muy alta,Difícil,Actual,Serie,Sí
328,Machos Alfa,Series,Comedia,Muy alta,Media,Clásica,Serie,Sí
329,Veneno,Series,Drama,Muy alta,Difícil,Actual,Serie,Sí
330,Fariña,Series,Drama,Muy alta,Difícil,Histórica,Serie,Sí
331,D'Artacán y los tres mosqueperros,Series,Animación,Muy alta,Media,Histórica,Serie,Sí
332,Ben-Hur,Películas,Histórica,Muy alta,Media,Histórica,Película,Sí
