id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,internacional
1830,Don Quijote de la Mancha,Literatura,Obra,Muy alta,Fácil,Histórica,true
2073,El Principito,Literatura,Obra,Muy alta,Fácil,Histórica,true
2287,Rapunzel,Literatura,Personaje,Muy alta,Fácil,Actual,true
238,Torre Eiffel,Lugares,Monumento,Muy alta,Fácil,Histórica,true
239,Sagrada Familia,Lugares,Monumento,Muy alta,Fácil,Histórica,true
240,Estatua de la Libertad,Lugares,Monumento,Muy alta,Fácil,Histórica,true
241,Nueva York,Lugares,Ciudad,Muy alta,Fácil,Actual,true
242,París,Lugares,Ciudad,Muy alta,Fácil,Actual,true
243,Londres,Lugares,Ciudad,Muy alta,Fácil,Actual,true
244,Roma,Lugares,Ciudad,Muy alta,Fácil,Siglo XX,true
245,Madrid,Lugares,Ciudad,Muy alta,Fácil,Actual,true
246,Barcelona,Lugares,Ciudad,Muy alta,Fácil,Actual,true
247,Egipto,Lugares,País,Muy alta,Fácil,Siglo XX,true
248,Gran Muralla China,Lugares,Monumento,Muy alta,Fácil,Histórica,true
249,Taj Mahal,Lugares,Monumento,Muy alta,Fácil,Histórica,true
250,Las Vegas,Lugares,Ciudad,Muy alta,Fácil,Actual,true
251,Disneyland,Lugares,Parque temático,Muy alta,Fácil,Actual,true
471,Big Ben,Lugares,Monumento,Muy alta,Fácil,Histórica,true
472,Coliseo de Roma,Lugares,Monumento,Muy alta,Fácil,Histórica,true
473,Pirámides de Giza,Lugares,Monumento,Muy alta,Fácil,Histórica,true
474,Machu Picchu,Lugares,Monumento,Muy alta,Fácil,Histórica,true
475,Cristo Redentor,Lugares,Monumento,Muy alta,Fácil,Histórica,true
477,Monte Everest,Lugares,Naturaleza,Muy alta,Fácil,Actual,true
478,Desierto del Sáhara,Lugares,Naturaleza,Muy alta,Fácil,Actual,true
480,Islas Canarias,Lugares,Destino,Muy alta,Fácil,Actual,true
697,Sevilla,Lugares,Ciudad,Muy alta,Fácil,Actual,false
698,Valencia,Lugares,Ciudad,Muy alta,Fácil,Actual,false
699,Bilbao,Lugares,Ciudad,Muy alta,Fácil,Actual,false
261,Coca-Cola,Marcas,Alimentación,Muy alta,Fácil,Actual,true
262,McDonald's,Marcas,Alimentación,Muy alta,Fácil,Actual,true
263,Lego,Marcas,Entretenimiento,Muy alta,Fácil,Actual,true
264,Apple,Marcas,Tecnología,Muy alta,Fácil,Actual,true
265,Google,Marcas,Tecnología,Muy alta,Fácil,Actual,true
266,Netflix,Marcas,Tecnología,Muy alta,Fácil,Actual,true
267,Amazon,Marcas,Tecnología,Muy alta,Fácil,Actual,true
268,IKEA,Marcas,Hogar,Muy alta,Fácil,Actual,true
269,Nike,Marcas,Moda,Muy alta,Fácil,Actual,true
270,Adidas,Marcas,Moda,Muy alta,Fácil,Actual,true
271,Zara,Marcas,Moda,Muy alta,Fácil,Actual,true
272,Disney,Marcas,Entretenimiento,Muy alta,Fácil,Actual,true
486,Ferrari,Marcas,Automoción,Muy alta,Fácil,Actual,true
487,Mercedes-Benz,Marcas,Automoción,Muy alta,Fácil,Actual,true
488,Volkswagen,Marcas,Automoción,Muy alta,Fácil,Actual,true
489,Toyota,Marcas,Automoción,Muy alta,Fácil,Actual,true
490,SEAT,Marcas,Automoción,Muy alta,Fácil,Actual,false
491,Renault,Marcas,Automoción,Muy alta,Fácil,Actual,true
492,Burger King,Marcas,Alimentación,Muy alta,Fácil,Actual,true
493,Starbucks,Marcas,Alimentación,Muy alta,Fácil,Actual,true
494,Pringles,Marcas,Alimentación,Muy alta,Fácil,Actual,true
495,Nutella,Marcas,Alimentación,Muy alta,Fácil,Actual,true
496,Kinder,Marcas,Alimentación,Muy alta,Fácil,Actual,true
497,Nesquik,Marcas,Alimentación,Muy alta,Fácil,Actual,true
498,Colacao,Marcas,Alimentación,Muy alta,Fácil,Actual,false
10,Rosalía,Música,Cantante,Muy alta,Fácil,Actual,false
11,Shakira,Música,Cantante,Muy alta,Fácil,Actual,true
12,Michael Jackson,Música,Cantante,Muy alta,Fácil,Siglo XX,true
13,Freddie Mercury,Música,Cantante,Muy alta,Fácil,Siglo XX,true
14,Madonna,Música,Cantante,Muy alta,Fácil,Siglo XX,true
15,Bad Bunny,Música,Cantante,Muy alta,Fácil,Actual,true
17,Adele,Música,Cantante,Muy alta,Fácil,Actual,true
164,Elton John,Música,Cantante,Muy alta,Fácil,Siglo XX,true
165,Elvis Presley,Música,Cantante,Muy alta,Fácil,Siglo XX,true
166,The Beatles,Música,Grupo,Muy alta,Fácil,Siglo XX,true
167,Queen,Música,Grupo,Muy alta,Fácil,Siglo XX,true
168,ABBA,Música,Grupo,Muy alta,Fácil,Siglo XX,true
169,The Rolling Stones,Música,Grupo,Muy alta,Fácil,Siglo XX,true
170,U2,Música,Grupo,Muy alta,Fácil,Siglo XX,true
171,Nirvana,Música,Grupo,Muy alta,Fácil,Siglo XX,true
172,Metallica,Música,Grupo,Muy alta,Fácil,Siglo XX,true
173,AC/DC,Música,Grupo,Muy alta,Fácil,Siglo XX,true
174,Coldplay,Música,Grupo,Muy alta,Fácil,Actual,true
176,Spice Girls,Música,Grupo,Muy alta,Fácil,Siglo XX,true
177,Backstreet Boys,Música,Grupo,Muy alta,Fácil,Siglo XX,true
178,Britney Spears,Música,Cantante,Muy alta,Fácil,Siglo XX,true
179,Lady Gaga,Música,Cantante,Muy alta,Fácil,Actual,true
180,Beyoncé,Música,Cantante,Muy alta,Fácil,Actual,true
181,Jennifer Lopez,Música,Cantante,Muy alta,Fácil,Actual,true
182,Ricky Martin,Música,Cantante,Muy alta,Fácil,Siglo XX,true
1921,Orangután,Naturaleza,Animales,Muy alta,Fácil,Actual,true
1922,Lince,Naturaleza,Animales,Muy alta,Fácil,Actual,true
1923,Murciélago,Naturaleza,Animales,Muy alta,Fácil,Actual,true
1924,Calamar,Naturaleza,Animales,Muy alta,Fácil,Actual,true
1925,Halcón,Naturaleza,Animales,Muy alta,Fácil,Actual,true
1926,Caimán,Naturaleza,Animales,Muy alta,Fácil,Actual,true
1927,Avispa,Naturaleza,Animales,Muy alta,Fácil,Actual,true
1928,Saltamontes,Naturaleza,Animales,Muy alta,Fácil,Actual,true
1929,Gusano,Naturaleza,Animales,Muy alta,Fácil,Actual,true
257,Tetris,Ocio,Videojuego,Muy alta,Fácil,Siglo XX,true
258,Minecraft,Ocio,Videojuego,Muy alta,Fácil,Actual,true
259,Fortnite,Ocio,Videojuego,Muy alta,Fácil,Actual,true
260,PlayStation,Ocio,Consola,Muy alta,Fácil,Actual,true
481,Pokémon Go,Ocio,Videojuego,Muy alta,Fácil,Siglo XX,true
482,Wii,Ocio,Consola,Muy alta,Fácil,Siglo XX,true
483,Xbox,Ocio,Consola,Muy alta,Fácil,Actual,true
484,Nintendo,Ocio,Videojuego,Muy alta,Fácil,Actual,true
709,FIFA,Ocio,Videojuego,Muy alta,Fácil,Siglo XX,true
710,Los Sims,Ocio,Videojuego,Muy alta,Fácil,Siglo XX,true
711,Grand Theft Auto,Ocio,Videojuego,Muy alta,Fácil,Siglo XX,true
712,Mario Kart,Ocio,Videojuego,Muy alta,Fácil,Siglo XX,true
1250,Animal Crossing,Ocio,Videojuego,Muy alta,Fácil,Actual,true
1251,Candy Crush,Ocio,Videojuego,Muy alta,Fácil,Actual,true
1252,Clash Royale,Ocio,Videojuego,Muy alta,Fácil,Actual,true
1253,Super Mario Bros.,Ocio,Videojuego,Muy alta,Fácil,Actual,true
1254,The Legend of Zelda,Ocio,Videojuego,Muy alta,Fácil,Actual,true
1260,Among Us,Ocio,Videojuego,Muy alta,Fácil,Actual,true
1262,Call of Duty,Ocio,Videojuego,Muy alta,Fácil,Actual,true
1263,Wii Sports,Ocio,Videojuego,Muy alta,Fácil,Actual,true
1264,Just Dance,Ocio,Videojuego,Muy alta,Fácil,Actual,true
1266,Cluedo,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
1267,Monopoly,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
1268,Trivial Pursuit,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
1270,Pictionary,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
58,Blancanieves,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
4166,Kim Kardashian,Cultura,Persona/Personaje,Muy alta,Fácil,Actual,true
217,Selección española,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,false
2306,Donald Trump,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
700,Santiago de Compostela,Lugares,Ciudad,Muy alta,Fácil,Actual,true
499,Chupa Chups,Marcas,Alimentación,Muy alta,Fácil,Siglo XX,true
183,Enrique Iglesias,Música,Cantante,Muy alta,Fácil,Actual,true
1272,Jenga,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
59,Peter Pan,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
218,Mundial de Fútbol,Deportes,Evento,Muy alta,Fácil,Actual,true
2307,Adolf Hitler,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
701,Ibiza,Lugares,Isla,Muy alta,Fácil,Actual,true
500,Donuts,Marcas,Alimentación,Muy alta,Fácil,Actual,true
184,Julio Iglesias,Música,Cantante,Muy alta,Fácil,Siglo XX,true
1273,Twister,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
60,Campanilla,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
219,Juegos Olímpicos,Deportes,Evento,Muy alta,Fácil,Siglo XX,true
2311,Guerra Civil Española,Historia,Evento,Muy alta,Fácil,Siglo XX,false
702,Mallorca,Lugares,Isla,Muy alta,Fácil,Actual,true
715,Pepsi,Marcas,Alimentación,Muy alta,Fácil,Actual,true
185,Alejandro Sanz,Música,Cantante,Muy alta,Fácil,Actual,false
1274,Operación,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
61,Homer Simpson,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
427,David Beckham,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
2312,Descubrimiento de América,Historia,Evento,Muy alta,Fácil,Siglo XX,true
703,Tenerife,Lugares,Isla,Muy alta,Fácil,Actual,true
716,Samsung,Marcas,Tecnología,Muy alta,Fácil,Actual,true
186,David Bisbal,Música,Cantante,Muy alta,Fácil,Actual,false
1275,Hundir la flota,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
62,Bart Simpson,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
431,Raúl González,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
2313,Edad Media,Historia,Evento,Muy alta,Fácil,Actual,true
704,Venecia,Lugares,Ciudad,Muy alta,Fácil,Actual,true
1185,Spotify,Marcas,Tecnología,Muy alta,Fácil,Actual,true
187,Estopa,Música,Grupo,Muy alta,Fácil,Actual,false
1276,Conecta 4,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
63,Bob Esponja,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
432,Carles Puyol,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
2370,Caída del Muro de Berlín,Historia,Evento,Muy alta,Fácil,Siglo XX,true
705,Tokio,Lugares,Ciudad,Muy alta,Fácil,Actual,true
1186,Microsoft,Marcas,Tecnología,Muy alta,Fácil,Actual,true
188,Hombres G,Música,Grupo,Muy alta,Fácil,Siglo XX,false
1277,Quién es quién,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
64,Scooby-Doo,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
433,Gerard Piqué,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
2371,Hundimiento del Titanic,Historia,Evento,Muy alta,Fácil,Siglo XX,true
706,Hollywood,Lugares,Barrio,Muy alta,Fácil,Actual,true
1187,Porsche,Marcas,Automoción,Muy alta,Fácil,Actual,true
189,Mecano,Música,Grupo,Muy alta,Fácil,Siglo XX,false
1279,Cubo de Rubik,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
67,Superman,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
435,David Villa,Deportes,Futbolista,Muy alta,Fácil,Siglo XX,true
2965,Francisco Franco,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,false
708,Parque Güell,Lugares,Monumento,Muy alta,Fácil,Actual,true
1188,Peugeot,Marcas,Automoción,Muy alta,Fácil,Actual,true
190,La Oreja de Van Gogh,Música,Grupo,Muy alta,Fácil,Siglo XX,false
1280,Bingo,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
68,Batman,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
436,Luis Suárez,Deportes,Futbolista,Muy alta,Fácil,Actual,true
3828,Isaac Newton,Historia,Personaje histórico,Muy alta,Fácil,Siglo XX,true
1115,Alhambra,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1189,Citroën,Marcas,Automoción,Muy alta,Fácil,Actual,true
191,El Canto del Loco,Música,Grupo,Muy alta,Fácil,Siglo XX,false
1281,Dominó,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
69,Spider-Man,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
437,Karim Benzema,Deportes,Futbolista,Muy alta,Fácil,Actual,true
1118,Museo del Prado,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1190,Ford,Marcas,Automoción,Muy alta,Fácil,Actual,true
192,Maná,Música,Grupo,Muy alta,Fácil,Siglo XX,true
1282,Ajedrez,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
70,Hulk,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
438,Erling Haaland,Deportes,Futbolista,Muy alta,Fácil,Actual,true
1120,Berlín,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1191,Cruzcampo,Marcas,Empresa,Muy alta,Fácil,Actual,false
193,Juanes,Música,Cantante,Muy alta,Fácil,Siglo XX,true
1283,Damas,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
71,Iron Man,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
439,Vinícius Júnior,Deportes,Futbolista,Muy alta,Fácil,Actual,true
1121,Atenas,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1192,Mahou,Marcas,Empresa,Muy alta,Fácil,Actual,false
194,Daddy Yankee,Música,Reguetón,Muy alta,Fácil,Siglo XX,true
1284,Parqués,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
72,Thor,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
440,Luka Modrić,Deportes,Futbolista,Muy alta,Fácil,Actual,true
1124,Los Ángeles,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1193,Estrella Galicia,Marcas,Empresa,Muy alta,Fácil,Actual,false
195,Karol G,Música,Reguetón,Muy alta,Fácil,Actual,true
1285,UNO,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
73,Capitán América,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
441,Alberto Contador,Deportes,Ciclismo,Muy alta,Fácil,Siglo XX,true
1125,San Francisco,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1194,Danone,Marcas,Alimentación,Muy alta,Fácil,Actual,true
196,J Balvin,Música,Reguetón,Muy alta,Fácil,Actual,true
1287,Mario Party,Ocio,Videojuego,Muy alta,Fácil,Actual,true
74,Wonder Woman,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
442,Miguel Induráin,Deportes,Ciclismo,Muy alta,Fácil,Siglo XX,true
1126,Río de Janeiro,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1195,KitKat,Marcas,Alimentación,Muy alta,Fácil,Actual,true
197,Ozuna,Música,Reguetón,Muy alta,Fácil,Actual,true
1429,Donkey Kong,Ocio,Videojuego,Muy alta,Fácil,Actual,true
75,Joker,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
443,Carlos Sainz,Deportes,Automovilismo,Muy alta,Fácil,Actual,true
1127,Buenos Aires,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1196,Kleenex,Marcas,Empresa,Muy alta,Fácil,Actual,true
198,Aitana,Música,Cantante,Muy alta,Fácil,Actual,false
1594,Angry Birds,Ocio,Videojuego,Muy alta,Fácil,Actual,true
76,Harley Quinn,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
444,Jorge Lorenzo,Deportes,Motociclismo,Muy alta,Fácil,Siglo XX,true
1128,Ciudad de México,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1197,Colgate,Marcas,Empresa,Muy alta,Fácil,Actual,true
199,Dua Lipa,Música,Cantante,Muy alta,Fácil,Actual,true
1939,Roblox,Ocio,Videojuego,Muy alta,Fácil,Actual,true
77,Thanos,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
445,Simone Biles,Deportes,Gimnasia,Muy alta,Fácil,Actual,true
1129,La Habana,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1198,Nivea,Marcas,Empresa,Muy alta,Fácil,Actual,true
200,Taylor Swift,Música,Cantante,Muy alta,Fácil,Actual,true
1940,Sonic the Hedgehog,Ocio,Videojuego,Muy alta,Fácil,Actual,true
78,Hermione Granger,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
447,Muhammad Ali,Deportes,Boxeo,Muy alta,Fácil,Siglo XX,true
1136,Muro de Berlín,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1199,Gillette,Marcas,Empresa,Muy alta,Fácil,Actual,true
375,Whitney Houston,Música,Cantante,Muy alta,Fácil,Siglo XX,true
1941,Brawl Stars,Ocio,Videojuego,Muy alta,Fácil,Actual,true
79,Ron Weasley,Cine y TV,Personaje,Muy alta,Fácil,Actual,true
448,Mike Tyson,Deportes,Boxeo,Muy alta,Fácil,Siglo XX,true
1137,Times Square,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1200,Mango,Marcas,Moda,Muy alta,Fácil,Actual,false
376,Céline Dion,Música,Cantante,Muy alta,Fácil,Actual,true
1942,Parcheesi,Ocio,Juego de mesa,Muy alta,Fácil,Actual,true
80,Gandalf,Cine y TV,Personaje,Muy alta,Fácil,Siglo XX,true
449,Tour de Francia,Deportes,Ciclismo,Muy alta,Fácil,Siglo XX,true
1138,Central Park,Lugares,Lugar,Muy alta,Fácil,Siglo XX,true
1201,H&M,Marcas,Moda,Muy alta,Fácil,Actual,true
377,Mariah Carey,Música,Cantante,Muy alta,Fácil,Actual,true
