id,palabra,categoria,subcategoria,popularidad,dificultad,epoca,alcance,infantil,internacional
47,La Sirenita,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
48,Pitufina,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
49,Woody,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
50,Buzz Lightyear,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
51,Mickey Mouse,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
52,Pato Donald,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
53,Goofy,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
54,Simba,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
56,Ariel,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
57,Cenicienta,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
58,Blancanieves,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
59,Peter Pan,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
60,Campanilla,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
63,Bob Esponja,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
64,Scooby-Doo,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
65,Tom,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
66,Jerry,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
67,Superman,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
68,Batman,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
69,Spider-Man,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
70,Hulk,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
71,Iron Man,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
72,Thor,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
73,Capitán América,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
74,Wonder Woman,Personajes,Superhéroe,Muy alta,Fácil,Actual,Internacional,true,true
78,Hermione Granger,Personajes,Fantasía,Muy alta,Fácil,Actual,Internacional,true,true
79,Ron Weasley,Personajes,Fantasía,Muy alta,Fácil,Actual,Internacional,true,true
85,Pinocho,Personajes,Cuento,Muy alta,Fácil,Histórica,Internacional,true,true
86,Caperucita Roja,Personajes,Cuento,Muy alta,Fácil,Histórica,Internacional,true,true
91,Doraemon,Personajes,Anime,Muy alta,Fácil,Actual,Internacional,true,true
96,Heidi,Series,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
97,Bola de Dragón,Series,Anime,Muy alta,Fácil,Actual,Internacional,true,true
98,Los Simpson,Series,Animación,Muy alta,Fácil,Clásica,Internacional,true,true
125,El Rey León,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
134,Frozen,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
135,Toy Story,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
136,Coco,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
149,Los Increíbles,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
150,Shrek,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
151,Madagascar,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
152,Buscando a Nemo,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
153,"Monstruos, S.A.",Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
154,Up,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
155,Ratatouille,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
156,La Bella y la Bestia,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
157,Aladdín,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
158,Mulán,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
159,Vaiana,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
160,Encanto,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
166,The Beatles,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,true,true
167,Queen,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,true,true
168,ABBA,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,true,true
174,Coldplay,Música,Grupo,Muy alta,Fácil,Actual,Internacional,true,true
180,Beyoncé,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
198,Aitana,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,false
199,Dua Lipa,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
200,Taylor Swift,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
215,Real Madrid,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true,true
216,FC Barcelona,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true,true
217,Selección española,Deportes,Equipos y clubes,Muy alta,Fácil,Actual,Internacional,true,false
218,Mundial de Fútbol,Deportes,Evento,Muy alta,Fácil,Actual,Internacional,true,true
219,Juegos Olímpicos,Deportes,Evento,Muy alta,Fácil,Histórica,Internacional,true,true
220,La Gioconda,Arte,Pintura,Muy alta,Fácil,Histórica,Internacional,true,true
222,El grito,Arte,Pintura,Alta,Media,Histórica,Internacional,true,true
223,Las Meninas,Arte,Pintura,Alta,Media,Histórica,Internacional,true,true
224,La última cena,Arte,Pintura,Alta,Media,Histórica,Internacional,true,true
227,Romeo y Julieta,Literatura,Obra,Muy alta,Fácil,Histórica,Internacional,true,true
229,Stephen Hawking,Ciencia,Físico,Muy alta,Fácil,Histórica,Internacional,true,true
230,Galileo Galilei,Ciencia,Astrónomo,Alta,Media,Histórica,Internacional,true,true
231,Nikola Tesla,Ciencia,Inventor,Alta,Media,Histórica,Internacional,true,true
232,Thomas Edison,Ciencia,Inventor,Alta,Media,Histórica,Internacional,true,true
233,Julio César,Historia,Personaje histórico,Muy alta,Fácil,Histórica,Internacional,true,true
234,Cristóbal Colón,Historia,Explorador,Muy alta,Fácil,Histórica,Internacional,true,true
238,Torre Eiffel,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
239,Sagrada Familia,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
240,Estatua de la Libertad,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
241,Nueva York,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
242,París,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
243,Londres,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
244,Roma,Lugares,Ciudad,Muy alta,Fácil,Histórica,Internacional,true,true
245,Madrid,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
246,Barcelona,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
247,Egipto,Lugares,País,Muy alta,Fácil,Histórica,Internacional,true,true
248,Gran Muralla China,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
249,Taj Mahal,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
251,Disneyland,Lugares,Parque temático,Muy alta,Fácil,Actual,Internacional,true,true
254,Sonic,Personajes,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
255,Pac-Man,Personajes,Videojuegos,Muy alta,Fácil,Histórica,Internacional,true,true
256,Pikachu,Personajes,Videojuegos,Muy alta,Fácil,Clásica,Internacional,true,true
257,Tetris,Videojuegos,Puzzle,Muy alta,Fácil,Histórica,Internacional,true,true
258,Minecraft,Videojuegos,Sandbox,Muy alta,Fácil,Actual,Internacional,true,true
259,Fortnite,Videojuegos,Battle royale,Muy alta,Fácil,Actual,Internacional,true,true
261,Coca-Cola,Marcas,Bebida,Muy alta,Fácil,Actual,Internacional,true,true
262,McDonald's,Marcas,Restauración,Muy alta,Fácil,Actual,Internacional,true,true
263,Lego,Marcas,Juguetes,Muy alta,Fácil,Actual,Internacional,true,true
264,Apple,Marcas,Tecnología,Muy alta,Fácil,Actual,Internacional,true,true
265,Google,Marcas,Tecnología,Muy alta,Fácil,Actual,Internacional,true,true
266,Netflix,Marcas,Streaming,Muy alta,Fácil,Actual,Internacional,true,true
267,Amazon,Marcas,Comercio,Muy alta,Fácil,Actual,Internacional,true,true
268,IKEA,Marcas,Hogar,Muy alta,Fácil,Actual,Internacional,true,true
269,Nike,Marcas,Deporte,Muy alta,Fácil,Actual,Internacional,true,true
270,Adidas,Marcas,Deporte,Muy alta,Fácil,Actual,Internacional,true,true
271,Zara,Marcas,Moda,Muy alta,Fácil,Actual,Internacional,true,true
272,Disney,Marcas,Entretenimiento,Muy alta,Fácil,Actual,Internacional,true,true
273,Lucky Luke,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
274,Mortadelo,Personajes,Cómic,Muy alta,Fácil,Histórica,Nacional,true,false
275,Filemón,Personajes,Cómic,Muy alta,Fácil,Histórica,Nacional,true,false
276,Garfield,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
277,Snoopy,Personajes,Cómic,Muy alta,Fácil,Histórica,Internacional,true,true
279,Hello Kitty,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
283,Stitch,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
284,Winnie the Pooh,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
285,Dumbo,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
286,Bambi,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
294,Gru,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
295,Minion,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
296,Kung Fu Panda,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
298,Mowgli,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
299,Baloo,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
300,Dora la Exploradora,Personajes,Infantil,Muy alta,Fácil,Actual,Internacional,true,true
301,Peppa Pig,Personajes,Infantil,Muy alta,Fácil,Actual,Internacional,true,true
302,Pocoyó,Personajes,Infantil,Muy alta,Fácil,Actual,Internacional,true,true
305,Ash Ketchum,Personajes,Anime,Muy alta,Fácil,Actual,Internacional,true,true
312,Modern Family,Series,Comedia,Muy alta,Fácil,Histórica,Internacional,true,true
389,Justin Bieber,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
390,Ed Sheeran,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
391,Bruno Mars,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
394,Billie Eilish,Música,Cantante,Muy alta,Fácil,Actual,Internacional,true,true
456,Miguel Ángel,Arte,Artista,Muy alta,Fácil,Histórica,Internacional,true,true
468,Julio Verne,Literatura,Escritor,Alta,Media,Histórica,Internacional,true,true
471,Big Ben,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
472,Coliseo de Roma,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
473,Pirámides de Giza,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
474,Machu Picchu,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
475,Cristo Redentor,Lugares,Monumento,Muy alta,Fácil,Histórica,Internacional,true,true
477,Monte Everest,Lugares,Naturaleza,Muy alta,Fácil,Actual,Internacional,true,true
478,Desierto del Sáhara,Lugares,Naturaleza,Muy alta,Fácil,Actual,Internacional,true,true
480,Islas Canarias,Lugares,Destino,Muy alta,Fácil,Actual,Internacional,true,true
481,Pokémon Go,Videojuegos,Móvil,Muy alta,Fácil,Clásica,Internacional,true,true
484,Nintendo,Videojuegos,Empresa,Muy alta,Fácil,Actual,Internacional,true,true
486,Ferrari,Marcas,Automoción,Muy alta,Fácil,Actual,Internacional,true,true
487,Mercedes-Benz,Marcas,Automoción,Muy alta,Fácil,Actual,Internacional,true,true
488,Volkswagen,Marcas,Automoción,Muy alta,Fácil,Actual,Internacional,true,true
492,Burger King,Marcas,Restauración,Muy alta,Fácil,Actual,Internacional,true,true
495,Nutella,Marcas,Alimentación,Muy alta,Fácil,Actual,Internacional,true,true
496,Kinder,Marcas,Alimentación,Muy alta,Fácil,Actual,Internacional,true,true
497,Nesquik,Marcas,Alimentación,Muy alta,Fácil,Actual,Internacional,true,true
498,Colacao,Marcas,Alimentación,Muy alta,Fácil,Actual,Nacional,true,false
499,Chupa Chups,Marcas,Alimentación,Muy alta,Fácil,Histórica,Internacional,true,true
500,Donuts,Marcas,Alimentación,Muy alta,Fácil,Actual,Internacional,true,true
501,Zeus,Mitología,Mitología griega,Muy alta,Fácil,Histórica,Internacional,true,true
503,Hércules,Mitología,Mitología griega,Muy alta,Fácil,Histórica,Internacional,true,true
504,Medusa,Mitología,Mitología griega,Muy alta,Fácil,Histórica,Internacional,true,true
505,Poseidón,Mitología,Mitología griega,Muy alta,Fácil,Histórica,Internacional,true,true
506,Hades,Mitología,Mitología griega,Alta,Media,Histórica,Internacional,true,true
507,Cupido,Mitología,Mitología romana,Muy alta,Fácil,Histórica,Internacional,true,true
570,Minnie Mouse,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
571,Pluto,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
574,La Pantera Rosa,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
575,Wally,Personajes,Literatura infantil,Muy alta,Fácil,Histórica,Internacional,true,true
580,Wall-E,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
581,Enredados,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
582,El libro de la selva,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
583,Alicia en el País de las Maravillas,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
584,Blancanieves y los siete enanitos,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
585,Tarzán,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
625,Los Picapiedra,Series,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
627,Tom y Jerry,Series,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
630,Las Tortugas Ninja,Series,Animación,Muy alta,Fácil,Clásica,Internacional,true,true
631,Pokémon,Series,Animación,Muy alta,Fácil,Actual,Internacional,true,true
637,Oliver y Benji,Series,Anime,Muy alta,Fácil,Clásica,Internacional,true,true
641,Los Lunnis,Series,Infantil española,Muy alta,Fácil,Histórica,Nacional,true,false
649,Son Goku,Personajes,Anime,Muy alta,Fácil,Histórica,Internacional,true,true
652,Mario,Personajes,Videojuegos,Muy alta,Fácil,Histórica,Internacional,true,true
653,Luigi,Personajes,Videojuegos,Muy alta,Fácil,Histórica,Internacional,true,true
654,Princesa Peach,Personajes,Videojuegos,Muy alta,Fácil,Histórica,Internacional,true,true
657,Luke Skywalker,Personajes,Película,Muy alta,Fácil,Histórica,Internacional,true,true
658,Yoda,Personajes,Película,Muy alta,Fácil,Histórica,Internacional,true,true
659,Chewbacca,Personajes,Película,Muy alta,Fácil,Histórica,Internacional,true,true
671,Mary Poppins,Personajes,Película,Muy alta,Fácil,Histórica,Internacional,true,true
673,Pippi Calzaslargas,Personajes,Literatura y TV,Muy alta,Fácil,Histórica,Internacional,true,true
683,Imagine Dragons,Música,Grupo,Muy alta,Fácil,Actual,Internacional,true,true
684,Tutankamón,Historia,Faraón,Muy alta,Fácil,Histórica,Internacional,true,true
692,Robinson Crusoe,Literatura,Personaje,Alta,Media,Histórica,Internacional,true,true
704,Venecia,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
705,Tokio,Lugares,Ciudad,Muy alta,Fácil,Actual,Internacional,true,true
712,Mario Kart,Videojuegos,Carreras,Muy alta,Fácil,Histórica,Internacional,true,true
715,Pepsi,Marcas,Bebida,Muy alta,Fácil,Actual,Internacional,true,true
716,Samsung,Marcas,Tecnología,Muy alta,Fácil,Actual,Internacional,true,true
718,Pegaso,Mitología,Criatura mitológica,Muy alta,Fácil,Histórica,Internacional,true,true
719,Minotauro,Mitología,Criatura mitológica,Alta,Media,Histórica,Internacional,true,true
744,Cómo entrenar a tu dragón,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
745,"Gru, mi villano favorito",Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
746,Los Croods,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
747,Ice Age,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
748,Hotel Transilvania,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
755,Lilo y Stitch,Películas,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
757,Del revés,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
758,Elemental,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
760,Luca,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
763,Cars,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
764,Brave,Películas,Animación,Muy alta,Fácil,Actual,Internacional,true,true
924,One Direction,Música,Grupo,Muy alta,Fácil,Histórica,Internacional,true,true
1185,Spotify,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,true,true
1208,TikTok,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,true,true
1210,YouTube,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,true,true
1211,WhatsApp,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,true,true
1247,Play-Doh,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,true,true
1248,Hot Wheels,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,true,true
1249,Mattel,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,true,true
1250,Animal Crossing,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1251,Candy Crush,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1252,Clash Royale,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1253,Super Mario Bros.,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1260,Among Us,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1263,Wii Sports,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1264,Just Dance,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1304,Yeti,Mitología,Mitología,Alta,Media,Histórica,Internacional,true,true
1305,Bigfoot,Mitología,Mitología,Alta,Media,Histórica,Internacional,true,true
1306,Sirena,Mitología,Mitología,Muy alta,Fácil,Histórica,Internacional,true,true
1308,Unicornio,Mitología,Mitología,Muy alta,Fácil,Histórica,Internacional,true,true
1309,Fénix,Mitología,Mitología,Muy alta,Fácil,Histórica,Internacional,true,true
1310,Dragón,Mitología,Mitología,Muy alta,Fácil,Histórica,Internacional,true,true
1313,Kraken,Mitología,Mitología,Alta,Media,Histórica,Internacional,true,true
1315,Cerbero,Mitología,Mitología,Alta,Media,Histórica,Internacional,true,true
1361,Phineas y Ferb,Series,Serie,Muy alta,Fácil,Actual,Internacional,true,true
1362,Hora de aventuras,Series,Serie,Muy alta,Fácil,Actual,Internacional,true,true
1405,Argentina,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
1406,España,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
1422,Zipi y Zape,Personajes,Personaje,Muy alta,Fácil,Actual,Nacional,true,false
1425,Bugs Bunny,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1427,Piolín,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1428,Shaggy,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1437,Nemo,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1438,Dory,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1439,Elsa,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1440,Anna,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1441,Genio,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1443,Bestia,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1444,Mr. Bean,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1457,Hansel y Gretel,Literatura,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1458,Pulgarcito,Literatura,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1459,Alí Babá,Literatura,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
1505,Llegada a la Luna,Historia,Evento,Muy alta,Fácil,Histórica,Internacional,true,true
1508,Antiguo Egipto,Historia,Civilización,Muy alta,Fácil,Actual,Internacional,true,true
1509,Imperio Romano,Historia,Civilización,Muy alta,Fácil,Actual,Internacional,true,true
1576,Pixar,Marcas,Marca,Muy alta,Fácil,Actual,Internacional,true,true
1599,Zombi,Mitología,Mitología,Muy alta,Fácil,Actual,Internacional,true,true
1602,Ogro,Mitología,Mitología,Muy alta,Fácil,Actual,Internacional,true,true
1743,Harrison Ford,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
1746,Robert Downey Jr.,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
1921,Orangután,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1922,Lince,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1923,Murciélago,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1924,Calamar,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1925,Halcón,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1926,Caimán,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1927,Avispa,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1928,Saltamontes,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1929,Gusano,Naturaleza,Animales,Muy alta,Fácil,Actual,Internacional,true,true
1939,Roblox,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1941,Brawl Stars,Videojuegos,Videojuegos,Muy alta,Fácil,Actual,Internacional,true,true
1960,Cíclope,Mitología,Mitología,Alta,Media,Histórica,Internacional,true,true
2007,Estados Unidos,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
2009,México,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
2021,Japón,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
2054,Jackie Chan,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
2055,Bruce Lee,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
2060,Macaulay Culkin,Cine y TV,Actor/Actriz,Muy alta,Fácil,Actual,Internacional,true,true
2073,El Principito,Literatura,Obra,Muy alta,Fácil,Histórica,Internacional,true,true
2078,Patricio Estrella,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
2079,Popeye,Personajes,Animación,Muy alta,Fácil,Histórica,Internacional,true,true
2105,Alexander Fleming,Ciencia,Científico,Alta,Media,Histórica,Internacional,true,true
2112,Tigger,Personajes,Animación,Alta,Media,Histórica,Internacional,true,true
2113,Po,Personajes,Animación,Alta,Media,Actual,Internacional,true,true
2241,Dragon Ball,Series,Serie,Muy alta,Fácil,Clásica,Internacional,true,true
2242,Looney Tunes,Series,Serie,Muy alta,Fácil,Actual,Internacional,true,true
2261,Brasil,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
2262,Francia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
2276,Rayo McQueen,Personajes,Animación,Muy alta,Fácil,Actual,Internacional,true,true
2278,Olaf,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
2279,Bella,Personajes,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
2284,Groot,Personajes,Personaje,Alta,Media,Actual,Internacional,true,true
2287,Rapunzel,Literatura,Personaje,Muy alta,Fácil,Actual,Internacional,true,true
2292,Los Pitufos,Series,Animación,Muy alta,Fácil,Actual,Internacional,true,true
2356,Vampiro,Mitología,Mitología,Muy alta,Fácil,Actual,Internacional,true,true
2357,Hada,Mitología,Mitología,Muy alta,Fácil,Actual,Internacional,true,true
2358,Elfo,Mitología,Mitología,Muy alta,Fácil,Actual,Internacional,true,true
2510,Italia,Lugares,País,Muy alta,Fácil,Actual,Internacional,true,true
2741,Patrulla Canina,Series,Serie,Muy alta,Fácil,Actual,Internacional,true,true
